평균기온(°C),평균 풍속(m/s),평균 이슬점온도(°C),평균 증기압(hPa),평균 지면온도(°C),지점명,,
14.7,3.8,10.1,12.7,15.9,군산,,
11.7,3.2,6.5,9.7,14.4,군산,,
10.5,3.1,8.1,10.8,12.4,군산,,
12.9,2.8,6.2,9.5,16.1,군산,,
12.1,1.6,5.8,9.3,12.7,군산,,
13.3,2.2,6.9,9.9,15.9,군산,,
12.7,2.8,5.9,9.3,16.8,군산,,
15.4,1.8,7.6,10.4,18.8,군산,,
15.3,3.2,12.6,14.7,15.5,군산,,
12.5,5.2,10.9,13.1,13.3,군산,,
13.9,2.6,10.2,12.5,16.8,군산,,
17.2,2.2,9.1,11.6,19.2,군산,,
19.3,2,8,10.9,19.4,군산,,
20.4,2.5,11,13.3,22.1,군산,,
19.1,2,17.6,20.2,19.8,군산,,
20,2.4,18.1,20.8,19.8,군산,,
17.9,2.8,15.2,17.3,22,군산,,
14.7,2.4,10.4,12.6,18.3,군산,,
18.8,2.7,13.9,16.2,19,군산,,
24.1,2.6,20.5,24.2,23.1,군산,,
23.8,1.8,19.6,22.7,24.4,군산,,
19.2,1.5,17.5,20,21.1,군산,,
19.7,1.9,12.2,14.3,20.3,군산,,
16.6,2.9,8.9,11.4,17.1,군산,,
16.1,2.6,10.6,12.8,20.3,군산,,
17.6,2,12.1,14.1,21.6,군산,,
18.3,2.5,12.6,14.7,22.6,군산,,
18.9,1.7,14,16,23.8,군산,,
19.7,2.1,12.4,14.4,24.4,군산,,
18.4,1.9,11.8,13.9,24,군산,,
17.8,2.2,13.2,15.2,21.6,군산,,
20,1.9,13.8,15.8,25,군산,,
18.6,1.4,13.4,15.5,21,군산,,
18.6,3.5,14,16,23.8,군산,,
18.8,3.5,12.4,14.4,26.5,군산,,
19.7,2,10.8,13,27.4,군산,,
22.8,2.5,9.9,12.3,25.4,군산,,
23.1,3,15.8,18.4,29.8,군산,,
23.1,2.3,19.6,22.8,30.6,군산,,
23.2,2.1,19.2,22.3,32.3,군산,,
20.2,3.3,17.6,20.1,27,군산,,
20.7,2.3,14.3,16.3,29.7,군산,,
22.6,1.8,13.8,15.8,30.7,군산,,
20.7,1.7,18.4,21.2,22.5,군산,,
22.7,2.6,20.1,23.6,24.7,군산,,
24.9,2.2,20.9,24.9,27.6,군산,,
23.7,3.4,20.9,24.7,25.2,군산,,
23.9,2.6,20,23.5,25.6,군산,,
