평균기온(°C),평균 풍속(m/s),평균 이슬점온도(°C),평균 증기압(hPa),평균 지면온도(°C),지점명,,
10,2.1,4.5,8.6,11.9,군산,,
9,2.6,5,8.8,12.5,군산,,
13.9,2.1,6.8,9.9,15.2,군산,,
10.6,4.4,8,10.9,12.6,군산,,
10.2,2.2,5,8.8,14,군산,,
11.1,2.4,7,10.3,12.1,군산,,
7,4.2,-2.5,5.1,9.5,군산,,
7.9,1.8,0.9,6.6,11.6,군산,,
12,2.8,8.8,11.8,11.3,군산,,
10,4.4,8,10.8,11.7,군산,,
11,2.9,8.3,11,14.2,군산,,
12.9,1.7,5.1,9.2,16.4,군산,,
14.7,1.9,6.1,9.6,16.8,군산,,
14.9,1.3,7.4,10.4,14.9,군산,,
14.2,1.7,8.1,10.8,15.8,군산,,
16.7,2.1,6.6,10.1,18.4,군산,,
14,2,9.8,12.2,14.6,군산,,
16.9,2.4,9.7,12.1,19.1,군산,,
16.4,1.8,10.9,13.1,20,군산,,
11,3.2,6.4,10.2,12.8,군산,,
10.8,2.5,-1.2,5.8,15.4,군산,,
13.3,2.1,2.4,7.3,14.6,군산,,
17,2.1,3,7.8,18.6,군산,,
15.6,2.7,0.2,6.6,18.3,군산,,
15.8,2.3,4.4,8.7,20.2,군산,,
14.6,2,6.9,10,20.5,군산,,
11.9,4.9,6.4,9.7,18.8,군산,,
12.3,2.2,6.2,9.5,17.3,군산,,
14,2.6,5.5,9.1,19.1,군산,,
12.1,2,6,9.6,13.4,전주,,
10.6,2.1,3.4,7.9,11.6,전주,,
14.4,1.9,6.1,9.5,14.1,전주,,
10.8,3.2,8.8,11.4,12.7,전주,,
12,1.9,4.3,8.4,14.1,전주,,
11.9,1.9,7.6,10.7,12.4,전주,,
7.9,3.1,-2.5,5.1,9.7,전주,,
9.9,2.1,-0.2,6.1,11.1,전주,,
14.2,2.6,10.3,13.1,12.4,전주,,
10.6,3.7,8.9,11.5,12.2,전주,,
13.1,2.3,9.1,11.6,15,전주,,
15.3,1.5,6.3,9.7,16.2,전주,,
18,1.9,6.6,9.8,16.9,전주,,
18,1.3,7.7,10.6,16.2,전주,,
17,1.9,7.7,10.5,16.6,전주,,
19.2,2.1,3.7,8.6,18.8,전주,,
14.6,1.6,10.2,12.5,15.1,전주,,
18.8,1.6,11.8,13.9,19.6,전주,,
19.5,1.7,11.9,14,19.5,전주,,
12.6,2.2,7.4,10.7,13.9,전주,,
12.4,2.2,-0.2,6.1,15,전주,,
13.8,1.5,3.2,7.7,14.9,전주,,
17.4,2.1,4.2,8.2,19,전주,,
16.7,1.9,2.5,7.4,18.6,전주,,
17.6,2,4.2,8.3,20.9,전주,,
16.9,2.2,4.8,8.7,20.7,전주,,
13.4,3.6,5.4,9,18.9,전주,,
13.9,2,5.7,9.2,18.3,전주,,
15.1,2.1,5.5,9,19.7,전주,,
10.5,1.1,6.1,9.6,12.4,부안,,
10.2,1,5.5,9.1,12.4,부안,,
14.3,2,6.6,9.8,15.3,부안,,
10.8,3.2,8.8,11.5,13.3,부안,,
11.3,1.4,5.5,9.1,14.5,부안,,
11.3,1.7,8,10.9,12.5,부안,,
7.4,1.9,-3.3,4.9,9.9,부안,,
8.6,1,1.2,6.8,11.9,부안,,
14.1,2.3,11.5,14,12,부안,,
10.9,2.5,9.2,11.7,11.9,부안,,
12.5,1.7,9.5,11.9,15,부안,,
13.8,1.2,7.8,10.7,15.8,부안,,
15.3,1.5,6.8,10,17.3,부안,,
15.7,0.9,8.3,11,15.2,부안,,
15,1.5,7.3,10.3,17.5,부안,,
16.2,1.6,7.9,10.7,18.9,부안,,
14.5,1,10.9,13.2,15.2,부안,,
17,1.5,10.7,12.9,19.4,부안,,
17.2,1.2,11.1,13.4,18.2,부안,,
11.9,1.8,6.8,10.2,12.9,부안,,
11.5,1.3,1.7,7.1,16.2,부안,,
12.9,1,4.2,8.3,14.5,부안,,
15.8,1.6,5.5,9.2,18.4,부안,,
14.6,1.4,2.9,7.7,18.3,부안,,
15.7,1.4,5.9,9.3,19.6,부안,,
14.9,1.5,4.3,8.4,19.8,부안,,
12.7,2.8,6.7,9.9,18.4,부안,,
12.9,1.2,6.8,9.9,17.2,부안,,
14.1,1.6,6.4,9.6,18.7,부안,,
12.1,1.1,7.1,10.3,13.7,임실,,
9.5,1.2,1,6.6,12.1,임실,,
13.1,1.7,3.9,8.1,13.5,임실,,
10.8,2.2,9.1,11.6,12.3,임실,,
12,1.2,2.5,7.3,14.5,임실,,
11.4,1.3,8.6,11.4,12.4,임실,,
6.9,1.8,-4.8,4.4,10.4,임실,,
8.7,1.1,-1.3,5.8,11.2,임실,,
12.9,2.3,10.5,13.2,11.8,임실,,
10.7,1.8,9.7,12.1,12.3,임실,,
13.1,1.5,8.1,10.9,15.9,임실,,
14.2,0.9,5.6,9.3,15.2,임실,,
17.6,1.1,5,9,18.2,임실,,
16.2,0.7,7.5,10.4,16,임실,,
16,1.1,6.3,9.5,17.1,임실,,
17.9,1.7,0.9,6.8,17.5,임실,,
13,0.8,9.7,12.2,13.8,임실,,
18.2,0.8,12.9,14.9,20.1,임실,,
17.4,1.1,12.9,14.9,19,임실,,
11.6,1.4,8.5,11.6,14.1,임실,,
11.6,1.1,-1.4,5.6,14.3,임실,,
11.5,1.1,4.8,8.8,12.7,임실,,
16.3,1.3,3.2,7.8,16.2,임실,,
14.6,1,0.3,6.6,16.7,임실,,
15.6,1,1.9,7.2,17.2,임실,,
14.9,1.1,5.4,9,16.5,임실,,
12.4,2.3,5,8.8,16.3,임실,,
12.2,1,5.6,9.2,15.5,임실,,
13.6,1.1,5.4,9,14.8,임실,,
10.9,1.2,7.1,10.3,12.2,장수,,
8,1.3,-1,5.7,10.7,장수,,
11.9,1.6,2.8,7.6,13.1,장수,,
10.1,2.5,8.2,10.9,11.1,장수,,
10.2,1.2,0.7,6.5,12.5,장수,,
9.6,2.1,8.3,11,11.1,장수,,
4.9,1.8,-4.2,4.6,9,장수,,
8,1.1,-4.1,4.7,11.9,장수,,
12.1,1.6,9.6,12.4,10.5,장수,,
10.6,3.5,8.7,11.4,13.1,장수,,
11.3,1.5,6.1,9.5,14.4,장수,,
13.2,0.8,2.2,7.5,13.9,장수,,
16.5,1.4,3.7,8.3,17.6,장수,,
14.9,1,6.5,9.7,14.6,장수,,
14.8,1.6,5.3,9,16.3,장수,,
15.5,1.9,1,6.7,17,장수,,
11.3,0.8,7.4,10.7,12.7,장수,,
16.9,0.9,10.3,12.8,18.3,장수,,
16.9,1,11.4,13.6,18.2,장수,,
11.7,1.6,8.1,11.2,14.7,장수,,
10.3,1.2,-1.2,5.7,13.7,장수,,
10.8,1,3.3,8,11.9,장수,,
14.3,2,2.8,7.5,15.7,장수,,
12.7,0.9,-2.1,5.7,15.6,장수,,
13.7,1,-0.4,6.2,15.8,장수,,
14.1,1.3,5.2,9,16.8,장수,,
12.6,2.5,3.3,7.8,16.1,장수,,
11.2,1.1,4.1,8.2,15.6,장수,,
12.8,1,6.2,9.5,14.5,장수,,
,,,,,,,
